Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




    PRICES FOR EQUITY SECURITIES TRADED ON 04/05/2026
     S/N COMPANY         PCLOSE OOPEN        OPEN      HIGH     LOW %SPREAD OCLOSE      CLOSE CHANGE      %CHANGE    TRADES      VOLUME              VALUE
       9   VETGOODS             50.20     50.20     55.22         48.20       12.71 54.72              4.52      9.00      202     149,529           8,064,265.41
      10   VETGRIF30            97.00     97.50    106.70         91.00       14.71 98.70              1.70      1.75      306     211,748       20,957,394.64
      11   VETINDETF          140.00     140.00    154.00     133.40          13.38 153.01           13.01       9.29      166      64,322           9,427,221.17
      12   VSPBONDETF         260.00     260.00    282.00     242.12          14.14 268.00             8.00      3.08      143      24,895           6,574,893.54
           Total                                                                                                          2,314   1,702,354     245,072,902.43




Copyright © 2021 Nigerian Exchange Limited. All Rights Reserved.                                                                              Page        7         of   8
Prices for Securities Traded as of 04/05/2026
Printed 04/05/2026 16:31:08.008




    PRICES FOR BOND SECURITIES TRADED ON 04/05/2026
      S/N COMPANY           PCLOSE OPEN         HIGH       LOW           %SPREAD    CLOSE     CHANGE       %CHANGE    TRADES   VOLUME              VALUE
       1   FGS202768          100.00   100.00     100.00     100.00                - 100.00            -          -        1      600           600,000.00
       2   FGSUK2032S7        123.96   123.96     120.00     120.00                - 120.00       -3.96       -3.19        2     3,950      4,739,996.05
       3   FGSUK2033S6        110.00   110.00     100.00         96.60        3.40 96.60         -13.40      -12.18        2     2,200      2,149,018.43
       4   TAJSUKS1            98.00    98.00      98.00         98.00             - 98.00        0.00         0.00        2      101            98,978.89
       5   TAJSUKS2            99.30    99.30      99.30         99.00        0.30 99.00          -0.30       -0.30        3    14,267     14,161,396.47
           Total                                                                                                          10    21,118     21,749,389.84




Copyright © 2021 Nigerian Exchange Limited. All Rights Reserved.                                                                         Page       8        of   8

